"","Anzelma","Babet","Bahorel","Bamatabois","BaptistineMyrie","BaronessDeThenard","BishopCharles-Francois-BienvenuMyriel","Blacheville","Boulatruelle","Brevet","Brujon","Champmathieu","Champtercier","Chenildieu","Child1","Child2","Claquesous","Cochepaille","Combeferre","Cosette","Count","CountessDeLo","Courfeyrac","Cravatte","Dahlia","Enjolras","Eponine","Fameuil","Fantine","Fauchelevent","Favourite","FelixTholomyes","Feuilly","Gavroche","Gervais","Gillenormand","Grantaire","Gribier","Gueulemer","JacquinLabarre","Javert","JeanProuvaire","JeanValjean","Joly","Jondrette","Judge","LAigleDeMeauxBossuet ","LieutenantTheoduleGillenormand","Listolier","Mabeuf","MadameBurgon","MadameDeR","MadameHucheloup","MadameMagloire","MadamePontmercy","MadameThenardier","MademoiselleGillenormand","MademoiselleVaubois","Magnon","Marguerite","Marius","MaubertIsabeau","Monsieur Geborand","Montparnasse","MotherInnocent","MotherPlutarch","Napoleon","OldMan","Pontmercy","Scaufflaire","SisterPerpetue","SisterSimplice","Thenardier","Toussaint","Woman1","Woman2","Zephine"
"Anzelma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Babet",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0
"Bahorel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,4,0,0,0,0,0,0,3,5,0,0,1,0,0,0,0,2,0,5,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bamatabois",0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BaptistineMyrie",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BaronessDeThenard",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BishopCharles-Francois-BienvenuMyriel",0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Blacheville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Boulatruelle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Brevet",0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
