"Character1","Size"
"Gillenormand",29
"Zephine",24
"Joly",43
"Brevet",11
"Bamatabois",11
"Gavroche",56
"MadameHucheloup",7
"Count",2
"Dahlia",25
"Fantine",47
"Marius",104
"Blacheville",25
"Scaufflaire",1
"Montparnasse",12
"Pontmercy",3
"Combeferre",68
"Bahorel",39
"Courfeyrac",84
"Gueulemer",25
"OldMan",1
"Brujon",13
"Toussaint",4
"Fameuil",24
"Grantaire",16
"LAigleDeMeauxBossuet ",66
"Child2",5
"Mabeuf",16
"SisterSimplice",8
"Cosette",68
"Judge",14
"MaubertIsabeau",1
"Fauchelevent",14
"Gervais",1
"MademoiselleGillenormand",23
"LieutenantTheoduleGillenormand",5
"Cochepaille",11
"Javert",47
"Babet",27
"Thenardier",61
"Feuilly",38
"Chenildieu",11
"JeanProuvaire",19
"Claquesous",20
"Eponine",19
"Enjolras",91
"Favourite",26
"MotherInnocent",4
"BaronessDeThenard",2
"MadameThenardier",34
"MotherPlutarch",3
"Anzelma",5
"CountessDeLo",1
"Napoleon",1
"Listolier",24
"JeanValjean",158
"Child1",5
"Woman2",5
"MadamePontmercy",2
"Woman1",3
"MadameBurgon",3
"Monsieur Geborand",1
"Champmathieu",14
"BaptistineMyrie",17
"Champtercier",1
"Magnon",2
"Gribier",2
"Cravatte",1
"SisterPerpetue",3
"Boulatruelle",1
"MadameMagloire",19
"Marguerite",3
"MadameDeR",1
"MademoiselleVaubois",1
"BishopCharles-Francois-BienvenuMyriel",31
"FelixTholomyes",26
"Jondrette",1
"JacquinLabarre",1
